Strain,State,Replicate,Colonies,Temperature,Time
YHL330C + BY4742,Vegetative,1,133,25,30
YHL330C + BY4742,Vegetative,2,113,25,30
YHL330C + BY4742,Vegetative,3,102,25,30
YHL330C + BY4742,Vegetative,1,107,50,10
YHL330C + BY4742,Vegetative,2,116,50,10
YHL330C + BY4742,Vegetative,3,121,50,10
YHL330C + BY4742,Vegetative,1,134,50,20
YHL330C + BY4742,Vegetative,2,123,50,20
YHL330C + BY4742,Vegetative,3,69,50,20
YHL330C + BY4742,Vegetative,1,168,50,30
YHL330C + BY4742,Vegetative,2,126,50,30
YHL330C + BY4742,Vegetative,3,253,50,30
YHL330C + BY4742,Vegetative,1,102,55,10
YHL330C + BY4742,Vegetative,2,96,55,10
YHL330C + BY4742,Vegetative,3,89,55,10
YHL330C + BY4742,Vegetative,1,59,55,20
YHL330C + BY4742,Vegetative,2,1,55,20
YHL330C + BY4742,Vegetative,3,1,55,20
YHL330C + BY4742,Vegetative,1,0,55,30
YHL330C + BY4742,Vegetative,2,0,55,30
YHL330C + BY4742,Vegetative,3,0,55,30
YHL330C + BY4742,Spore,1,68,25,30
YHL330C + BY4742,Spore,2,78,25,30
YHL330C + BY4742,Spore,3,107,25,30
YHL330C + BY4742,Spore,1,101,50,10
YHL330C + BY4742,Spore,2,91,50,10
YHL330C + BY4742,Spore,3,103,50,10
YHL330C + BY4742,Spore,1,113,50,20
YHL330C + BY4742,Spore,2,103,50,20
YHL330C + BY4742,Spore,3,62,50,20
YHL330C + BY4742,Spore,1,111,50,30
YHL330C + BY4742,Spore,2,121,50,30
YHL330C + BY4742,Spore,3,127,50,30
YHL330C + BY4742,Spore,1,65,55,10
YHL330C + BY4742,Spore,2,97,55,10
YHL330C + BY4742,Spore,3,125,55,10
YHL330C + BY4742,Spore,1,100,55,20
YHL330C + BY4742,Spore,2,95,55,20
YHL330C + BY4742,Spore,3,86,55,20
YHL330C + BY4742,Spore,1,3,55,30
YHL330C + BY4742,Spore,2,1,55,30
YHL330C + BY4742,Spore,3,4,55,30