Strain,State,Replicate,Dilution,Medium,Colonies,Time,Date
Y7039 x YHL033C,Liquid,1,1:10^3,SD-HIS-LEU,20,1,20220630
Y7039 x YHL033C,Liquid,1,1:10^4,SD-HIS-LEU,1,1,20220630
Y7039 x YHL033C,Liquid,2,1:10^3,SD-HIS-LEU,26,1,20220630
Y7039 x YHL033C,Liquid,2,1:10^4,SD-HIS-LEU,4,1,20220630
Y7039 x YHL033C,Liquid,3,1:10^3,SD-HIS-LEU,25,1,20220630
Y7039 x YHL033C,Liquid,3,1:10^4,SD-HIS-LEU,3,1,20220630
Y7039 x YHL033C,Liquid,1,1:10^3,SD-HIS-LEU,110,2,20220728
Y7039 x YHL033C,Liquid,1,1:10^4,SD-HIS-LEU,13,2,20220728
Y7039 x YHL033C,Liquid,2,1:10^3,SD-HIS-LEU,87,2,20220728
Y7039 x YHL033C,Liquid,2,1:10^4,SD-HIS-LEU,5,2,20220728
Y7039 x YHL033C,Liquid,3,1:10^3,SD-HIS-LEU,93,2,20220728
Y7039 x YHL033C,Liquid,3,1:10^4,SD-HIS-LEU,18,2,20220728